SBL,LATITUDE,LONGITUDE,DEED YEAR,SALE PRICE,ADDRESS,PROPERTY CLASS,PROP CLASS DESCRIPTION
1014200002004000,42.9151777599,-78.8066380684,2010,21000,2053 GENESEE,411,APARTMENT
1016600001009000,42.9062797583,-78.8054497139,2010,55000,832 WALDEN,465,PROFESSIONAL BUILDING
1016700002023000,42.9066862406,-78.7992952421,2016,27500,991 WALDEN,311,RESIDENTIAL VACANT LAND
1113700001005000,42.8917223966,-78.8811118487,2014,270000,83 PROSPECT,411,APARTMENT
1125800001015000,42.8864218945,-78.8078898713,2016,54000,60 IDEAL,210,ONE FAMILY DWELLING
1232700001017000,42.8755756654,-78.8037256512,2015,86000,133 WEAVER,411,APARTMENT
1333300005025000,42.850376495,-78.8113882663,2009,76000,420 CUMBERLAND,411,APARTMENT
1334600004007000,42.844441682,-78.831149311,2019,35261,30 LOCKWOOD,210,ONE FAMILY DWELLING
0773200003019000,42.9590667002,-78.9053274737,2003,15000,120 ROESCH,220,TWO FAMILY DWELLING
0776400005039000,42.9476871452,-78.9046407531,2019,120000,55 HUMPHREY,220,TWO FAMILY DWELLING
0778300005001000,42.9421149615,-78.8904490973,2016,20000,31 GROTE,411,APARTMENT
0787500001034000,42.9471308233,-78.8465201927,2013,125000,143 WALLACE,411,APARTMENT
0883500003003100,42.9385959554,-78.8905030581,2008,70000,972 GRANT,431,AUTO DEALERS
0888400002001000,42.9224431234,-78.8860875876,2009,20000,249 HOYT,220,TWO FAMILY DWELLING
0890600009007000,42.9383343637,-78.8694373378,2004,224586,66 DANA,210,ONE FAMILY DWELLING
0995200001016000,42.908852795,-78.8868503278,2008,60000,340 VERMONT,411,APARTMENT
0996000002025200,42.9071577877,-78.8861327555,2019,27500,84 FIFTEENTH,210,ONE FAMILY DWELLING
1003300002003100,42.9165335553,-78.8578819129,2019,155000,142 WAVERLY,210,ONE FAMILY DWELLING
1004800001037000,42.9115934494,-78.8641948783,2016,335000,36 UTICA EAST,411,APARTMENT
1004900002038000,42.9116930702,-78.8560989902,1999,15000,18 VERPLANCK,331,COM VAC W/IMP
1006300001014000,42.9063646824,-78.8691762705,2010,320000,151 LINWOOD AVE,411,APARTMENT
1006700001025000,42.9040291274,-78.848970266,2005,20000,518 BEST,210,ONE FAMILY DWELLING
1003000001051000,42.9172836209,-78.8767084476,2009,217000,739 ELMWOOD,482,DOWNTOWN ROW TYPE (DETACHED)
1007700010031100,42.8984915669,-78.8799489703,2007,50000,370 MARYLAND,220,TWO FAMILY DWELLING
1003500001043000,42.9164004897,-78.8456585372,2017,40000,174 BUTLER,220,TWO FAMILY DWELLING
1005100001031000,42.9107297829,-78.8444062312,2018,70000,571 UTICA EAST,220,TWO FAMILY DWELLING
10039000010320002H,42.913630992,-78.870318168,2005,122500,1088 DELAWARE,411,APARTMENT
1004000005042000,42.9127312026,-78.8631810977,2018,20000,58 GLENWOOD,210,ONE FAMILY DWELLING
1006700003038000,42.9050596186,-78.8467101871,2019,50000,45 NORWAY,220,TWO FAMILY DWELLING
1002900002005000,42.916709772,-78.8795749263,2014,340000,585 BRECKENRIDGE,210,ONE FAMILY DWELLING
1004000005054000,42.9127713142,-78.8650047961,2007,132500,1437 MAIN,464,OFFICE BUILDING
1003400003029000,42.9159698006,-78.8483712877,2015,12108,444 WOHLERS,210,ONE FAMILY DWELLING
1007100001012000,42.9033896242,-78.8701240136,2019,475000,45 LINWOOD AVE,283,RESIDENCE WITH COMMERCIAL USE
10039000010320006G,42.913630992,-78.870318168,2017,245000,1088 DELAWARE,411,APARTMENT
1003100001012000,42.9163085971,-78.8670577003,2015,349000,502 LINWOOD AVE,210,ONE FAMILY DWELLING
1004800002038100,42.9114814725,-78.8619109738,1994,78450,102 UTICA EAST,210,ONE FAMILY DWELLING
100300000201100016A,42.9162466683,-78.8720610362,2019,144000,770 FERRY WEST,411,APARTMENT
